Ngày 11/19/2023:
   Keyword 'chế_độ': 0.47%
   Keyword 'xe_lửa': 0.47%
   Keyword 'nhà_máy': 0.47%
   Keyword 'hình_ảnh': 0.47%
   Keyword 'gia_lâm': 0.47%
   Keyword 'chuyên_gia': 0.47%
   Keyword 'nạn_nhân': 0.47%
   Keyword 'ô_tô': 0.47%
   Keyword 'thanh_tra': 0.47%
   Keyword 'quy_mô': 0.47%
   Keyword 'xung_đột': 0.47%
   Keyword 'ukraine': 0.47%
   Keyword 'cha_con': 0.47%
   Keyword 'phú_quốc': 0.47%
   Keyword 'diễn_viên': 0.47%
   Keyword 'sư_phạm': 0.47%
   Keyword 'công_an': 0.47%
   Keyword 'google': 0.47%
   Keyword 'sam_altman': 0.47%
   Keyword 'đối_tượng': 0.47%
   Keyword 'kinh_tế': 0.47%
   Keyword 'hamas': 0.47%
   Keyword 'israel': 0.47%
   Keyword 'hồng_nhung': 0.47%
   Keyword 'colorado': 0.47%
   Keyword 'toà_án': 0.47%
   Keyword 'chính_quyền': 0.47%
   Keyword 'xa_lộ': 0.47%
   Keyword 'đồng_hành': 0.47%
   Keyword 'kỷ_luật': 0.47%
   Keyword 'giáo_viên': 0.47%
   Keyword 'nền_tảng': 0.47%
   Keyword 'chatgpt': 0.47%
   Keyword 'cha_đẻ': 0.47%
   Keyword 'cha_đẻ_chatgpt': 0.47%
   Keyword 'võ_văn_thưởng': 0.47%
   Keyword 'chủ_tịch_võ_văn_thưởng': 0.47%
   Keyword 'tương_lai': 0.47%
   Keyword 'môi_trường': 0.47%
   Keyword 'đảng_viên': 0.47%
   Keyword 'tây': 0.47%
   Keyword 'mỹ_nhân': 0.47%
   Keyword 'dự_án': 0.47%
   Keyword 'hội_quán': 0.47%
   Keyword 'sức_khoẻ': 0.47%
   Keyword 'hoàn_cảnh': 0.47%
   Keyword 'thể_thao': 0.47%
   Keyword 'đại_học': 0.47%
   Keyword 'quan_hệ': 0.47%
   Keyword 'thực_phẩm': 0.47%
   Keyword 'cơ_thể': 0.47%
   Keyword 'lợi_ích': 0.47%
   Keyword 'tiểu_đường': 0.47%
   Keyword 'hàn_quốc': 0.47%
   Keyword 'thái_lan': 0.47%
   Keyword 'hô_hấp': 0.47%
   Keyword 'hcm': 0.47%
   Keyword 'nguy_cơ': 0.47%
   Keyword 'yên_bái': 0.47%
   Keyword 'hy_vọng': 0.47%
   Keyword 'cải_lương': 0.47%
   Keyword 'thiếu_nữ': 0.47%
   Keyword 'ngư_dân': 0.47%
   Keyword 'starship': 0.47%
   Keyword 'kế_hoạch': 0.47%
   Keyword 'djokovic': 0.47%
   Keyword 'nhật_bản': 0.47%
   Keyword 'chương_trình': 0.47%
   Keyword 'hiệu_quả': 0.47%
   Keyword 'giải_pháp': 0.47%
   Keyword 'xăng_dầu': 0.47%
   Keyword 'bệnh_nhi': 0.47%
   Keyword 'không_khí': 0.47%
   Keyword 'quốc_gia': 0.47%
   Keyword 'cộng_đồng': 0.47%
   Keyword 'góc_vụ_án_nhân_văn_giai_phẩm': 0.47%
   Keyword 'giai_phẩm': 0.47%
   Keyword 'mỹtrung': 0.47%
   Keyword 'kết_quả': 0.47%
   Keyword 'tai_nạn': 0.47%
   Keyword 'gia_đình': 0.47%
   Keyword 'ý_nghĩa': 0.47%
   Keyword 'công_nhân': 0.47%
   Keyword 'bóng_đá': 0.47%
   Keyword 'di_sản': 0.47%
   Keyword 'hạnh_phúc': 0.47%
   Keyword 'ca_khúc': 0.47%
   Keyword 'philippines': 0.47%
   Keyword 'khu_vực': 0.47%
   Keyword 'chung_kết': 0.47%
   Keyword 'dinh': 0.47%
   Keyword 'đà_lạt': 0.47%
   Keyword 'tỉnh_trưởng': 0.47%
   Keyword 'nghệ_sĩ': 0.47%
   Keyword 'triển_lãm': 0.47%
   Keyword 'mục_tiêu': 0.47%
   Keyword 'indonesia': 0.47%
   Keyword 'chế_tài': 0.23%
   Keyword 'kỷ_lục': 0.23%
   Keyword 'đội_tuyển_pháp': 0.23%
   Keyword 'hôn_nhân': 0.23%
   Keyword 'chung_cư': 0.23%
   Keyword 'cá_mè_hoa': 0.23%
   Keyword 'cá_chép': 0.23%
   Keyword 'cá_trắm_đen': 0.23%
   Keyword 'hệ_sinh_thái': 0.23%
   Keyword 'túi_xách': 0.23%
   Keyword 'hoa_hậu_thuỳ_tiên': 0.23%
   Keyword 'hàng_hiệu': 0.23%
   Keyword 'thuỳ_tiên': 0.23%
   Keyword 'ly_thân': 0.23%
   Keyword 'will_smith': 0.23%
   Keyword 'vợ_tài_tử_will_smith': 0.23%
   Keyword 'đồng_tính': 0.23%
   Keyword 'hổ_chúa': 0.23%
   Keyword 'thông_tin': 0.23%
   Keyword 'phát_ngôn': 0.23%
   Keyword 'chuyên_môn': 0.23%
   Keyword 'hà_duy_thọ': 0.23%
   Keyword 'căn_bệnh': 0.23%
   Keyword 'số_liệu': 0.23%
   Keyword 'vận_động_viên': 0.23%
   Keyword 'khánh_huyền': 0.23%
   Keyword 'tù_và': 0.23%
   Keyword 'hamas_israel': 0.23%
   Keyword 'đồng_đại': 0.23%
   Keyword 'xung_đột_hamas_israel': 0.23%
   Keyword 'chủ_quyền': 0.23%
   Keyword 'quần_đảo': 0.23%
   Keyword 'chủ_quyền_vn': 0.23%
   Keyword 'trường_sa': 0.23%
   Keyword 'hoàng_sa': 0.23%
   Keyword 'nông_sản': 0.23%
   Keyword 'đông_bắc_á': 0.23%
   Keyword 'u_minh_hạ': 0.23%
   Keyword 'không_gian': 0.23%
   Keyword 'nghệ_thuật': 0.23%
   Keyword 'mạnh_tay': 0.23%
   Keyword 'phụ_huynh': 0.23%
   Keyword 'thầy_cô': 0.23%
   Keyword 'chiến_sự': 0.23%
   Keyword 'chiến_sự_ukraine': 0.23%
   Keyword 'hoàng_oanh': 0.23%
   Keyword 'lâm_bảo_châu': 0.23%
   Keyword 'hội_đồng_quản_trị': 0.23%
   Keyword 'kennedy': 0.23%
   Keyword 'đồng_sỹ_nguyên': 0.23%
   Keyword 'trung_tướng': 0.23%
   Keyword 'tổng_thống': 0.23%
   Keyword 'trai_trung_tướng_đồng_sỹ_nguyên': 0.23%
   Keyword 'thao_túng': 0.23%
   Keyword 'vntb_thao_túng': 0.23%
   Keyword 'vụ': 0.23%
   Keyword 'quản_lý_nhà_nước': 0.23%
   Keyword 'thế_hệ': 0.23%
   Keyword 'tình_yêu': 0.23%
   Keyword 'áp_lực': 0.23%
   Keyword 'the_hunger_games': 0.23%
   Keyword 'hiệu_trưởng': 0.23%
   Keyword 'cơ_chế': 0.23%
   Keyword 'tiktok': 0.23%
   Keyword 'samsung': 0.23%
   Keyword 'tennis_elbow': 0.23%
   Keyword 'hội_chứng': 0.23%
   Keyword 'thvn': 0.23%
   Keyword 'đài': 0.23%
   Keyword 'truyền_hình': 0.23%
   Keyword 'trường_cao_đẳng_truyền_hình_kỷ_niệm_nhà_giáo_việt_nam': 0.23%
   Keyword 'con_rối': 0.23%
   Keyword 'đồng_nai': 0.23%
   Keyword 'triệt': 0.23%
   Keyword 'đồng_nai_triệt': 0.23%
   Keyword 'nặng_lãi': 0.23%
   Keyword 'trí_nhớ': 0.23%
   Keyword 'tiềm_lực': 0.23%
   Keyword 'toàn_cầu': 0.23%
   Keyword 'xung_đột_israel_hamas': 0.23%
   Keyword 'công_diễn': 0.23%
   Keyword 'thu_phương': 0.23%
   Keyword 'sarah_wallace': 0.23%
   Keyword 'trump_thắng_bại': 0.23%
   Keyword 'phán_quyết': 0.23%
   Keyword 'trump_thắng': 0.23%
   Keyword 'chất_thải': 0.23%
   Keyword 'chris_christie_họ': 0.23%
   Keyword 'joe_biden': 0.23%
   Keyword 'chính_quyền_nga': 0.23%
   Keyword 'phong_trào_lgbtq': 0.23%
   Keyword 'phong_trào': 0.23%
   Keyword 'cực_đoan': 0.23%
   Keyword 'thông_điệp': 0.23%
   Keyword 'thánh_cha': 0.23%
   Keyword 'đức_thánh_cha': 0.23%
   Keyword 'nghị_viên': 0.23%
   Keyword 'st.': 0.23%
   Keyword 'paul': 0.23%
   Keyword 'minnesota': 0.23%
   Keyword 'st._paul_minnesota': 0.23%
   Keyword 'thẳng_tiến': 0.23%
   Keyword 'cựu_sinh_viên_sĩ_quan_trừ_bị_thủ_đức_thẳng_tiến': 0.23%
   Keyword 'sinh_viên_sĩ_quan_trừ_bị_thủ': 0.23%
   Keyword 'chân_giả': 0.23%
   Keyword 'mắt_cá': 0.23%
   Keyword 'chi_hội': 0.23%
   Keyword 'nỗ_lực': 0.23%
   Keyword 'tâm_sự': 0.23%
   Keyword 'vùng_cao': 0.23%
   Keyword 'nẫu': 0.23%
   Keyword 'cô_giáo_xứ_bắc': 0.23%
   Keyword 'cơ_quan_hành_chính': 0.23%
   Keyword 'kỷ_cương': 0.23%
   Keyword 'chủ_tịch_ubnd_tphcm': 0.23%
   Keyword 'sự_nghiệp': 0.23%
   Keyword 'chính_sách': 0.23%
   Keyword 'trọng': 0.23%
   Keyword 'đường_đua': 0.23%
   Keyword 'trọng_trách': 0.23%
   Keyword 'thế_giới_tuần_kết_nối': 0.23%
   Keyword 'kết_nối': 0.23%
   Keyword 'thầy_giáo': 0.23%
   Keyword 'miền_bắc_bắc_trung_bộ': 0.23%
   Keyword 'bắc_trung_bộ': 0.23%
   Keyword 'gala_sống_xanh_vẻ': 0.23%
   Keyword 'sản_phẩm': 0.23%
   Keyword 'thanh_niên_đà_nẵng': 0.23%
   Keyword 'mưa_lũ': 0.23%
   Keyword 'đoàn_viên': 0.23%
   Keyword 'cấp_uỷ': 0.23%
   Keyword 'đảng': 0.23%
   Keyword 'vai_trò_cầu_nối_bền_chặt_cấp_uỷ_đảng': 0.23%
   Keyword 'vai_trò': 0.23%
   Keyword 'tầng_lớp': 0.23%
   Keyword 'nhân_dân': 0.23%
   Keyword 'cầu_nối': 0.23%
   Keyword 'bình_định': 0.23%
   Keyword 'tỉnh_uỷ_bình_định': 0.23%
   Keyword 'uỷ_ban': 0.23%
   Keyword 'bất_động_sản': 0.23%
   Keyword 'lãi_suất': 0.23%
   Keyword 'cù_nhây': 0.23%
   Keyword 'luật_pháp': 0.23%
   Keyword 'báu_vật': 0.23%
   Keyword 'thanh_hoá': 0.23%
   Keyword 'năm_tuổi_thanh_hoá': 0.23%
   Keyword 'năm_tuổi': 0.23%
   Keyword 'cảnh_sát': 0.23%
   Keyword 'đài_loan': 0.23%
   Keyword 'phản_ứng': 0.23%
   Keyword 'phản_ứng_tây': 0.23%
   Keyword 'hoàng_su_phì': 0.23%
   Keyword 'đẹp_nicaragua_hoa_hậu_hoàn_vũ': 0.23%
   Keyword 'bùi_quỳnh_hoa': 0.23%
   Keyword 'công_ty_ma_trương_mỹ_lan': 0.23%
   Keyword 'thú_vui': 0.23%
   Keyword 'văn_phòng': 0.23%
   Keyword 'chị_em': 0.23%
   Keyword 'công_sở': 0.23%
   Keyword 'tình_dục': 0.23%
   Keyword 'bệnh_viện_gaza': 0.23%
   Keyword 'thầy_trò': 0.23%
   Keyword 'tháp': 0.23%
   Keyword 'kim_thành': 0.23%
   Keyword 'lào_cai': 0.23%
   Keyword 'công_nghiệp': 0.23%
   Keyword 'sinh_thái': 0.23%
   Keyword 'nông_nghiệp': 0.23%
   Keyword 'phạm_minh_chính': 0.23%
   Keyword 'ảnh_thủ_tướng_phạm_minh_chính': 0.23%
   Keyword 'thái_bình': 0.23%
   Keyword 'công_vụ': 0.23%
   Keyword 'khởi_tố': 0.23%
   Keyword 'thành_viên_hội_quán': 0.23%
   Keyword 'nông_dân': 0.23%
   Keyword 'việt_namlàothái_lancampuchiamyanmar': 0.23%
   Keyword 'thể_dục': 0.23%
   Keyword 'trường_đại_học_sư_phạm_thể_dục': 0.23%
   Keyword 'hồ_chí_minh': 0.23%
   Keyword 'thể_thao_tp_hồ_chí_minh': 0.23%
   Keyword 'năm_học': 0.23%
   Keyword 'liên_hoan_phim': 0.23%
   Keyword 'phú_yên': 0.23%
   Keyword 'bản_sắc_việt': 0.23%
   Keyword 'việt_nampháp': 0.23%
   Keyword 'bản_sắc': 0.23%
   Keyword 'bố_con': 0.23%
   Keyword 'quảng_bình': 0.23%
   Keyword 'đường_huyết': 0.23%
   Keyword 'địa_điểm': 0.23%
   Keyword 'seattle': 0.23%
   Keyword 'khinh_khí_cầu': 0.23%
   Keyword 'pgsts_phan_thanh_bình': 0.23%
   Keyword 'phan_thanh_bình': 0.23%
   Keyword 'đoàn': 0.23%
   Keyword 'bí_thư_thứ_nhất_t._đoàn': 0.23%
   Keyword 'bí_thư_thứ_nhất': 0.23%
   Keyword 'cà_phê': 0.23%
   Keyword 'cá_lóc': 0.23%
   Keyword 'lý_tưởng': 0.23%
   Keyword 'dinh_dưỡng': 0.23%
   Keyword 'thực_đơn': 0.23%
   Keyword 'tế_bào': 0.23%
   Keyword 'cardio': 0.23%
   Keyword 'nguy_hiểm': 0.23%
   Keyword 'cận_cảnh_cao_tốc_mỹ_thuận_cần_thơ': 0.23%
   Keyword 'mỹ_thuận': 0.23%
   Keyword 'mỹ_thuận_cần_thơ': 0.23%
   Keyword 'cầu_mỹ_thuận': 0.23%
   Keyword 'bước_ngoặt': 0.23%
   Keyword 'quân_sự': 0.23%
   Keyword 'vệ_tinh': 0.23%
   Keyword 'hàn_quốc_triều_tiên': 0.23%
   Keyword 'triều_tiên': 0.23%
   Keyword 'manh_mối': 0.23%
   Keyword 'hành_tinh': 0.23%
   Keyword 'lê_quang_liêm': 0.23%
   Keyword 'cờ_vua': 0.23%
   Keyword 'đội_tuyển_thái_lan': 0.23%
   Keyword 'mũi_tên': 0.23%
   Keyword 'troussier': 0.23%
   Keyword 'cờ_mạo_hiểm_hlv_troussier': 0.23%
   Keyword 'sở': 0.23%
   Keyword 'nguyên_nhân': 0.23%
   Keyword 'đột_biến': 0.23%
   Keyword 'bệnh_viện_tp._hcm_sở_y_tế': 0.23%
   Keyword 'vũ_khí': 0.23%
   Keyword 'truy_tố': 0.23%
   Keyword 'bị_can': 0.23%
   Keyword 'quân_dụng': 0.23%
   Keyword 'phương_tiện': 0.23%
   Keyword 'fan': 0.23%
   Keyword 'nhiệt_độ': 0.23%
   Keyword 'taylor_swift': 0.23%
   Keyword 'giới_tính': 0.23%
   Keyword 'tình_nguyện_viên': 0.23%
   Keyword 'sv07': 0.23%
   Keyword 'chủ_xe_nissan': 0.23%
   Keyword 'ấn_tượng': 0.23%
   Keyword 'cảm_giác': 0.23%
   Keyword 'nissan': 0.23%
   Keyword 'ronaldo': 0.23%
   Keyword 'ả_rập': 0.23%
   Keyword 'de_gea': 0.23%
   Keyword 'bóng_chuyền': 0.23%
   Keyword 'kiều_trinh': 0.23%
   Keyword 'phẩm_làng_bóng_chuyền_kiều_trinh': 0.23%
   Keyword 'năng_lượng': 0.23%
   Keyword 'hoa_lan': 0.23%
   Keyword 'lan_toả': 0.23%
   Keyword 'bí_thư': 0.23%
   Keyword 'đinh_tiến_hùng': 0.23%
   Keyword 'tỉnh_đoàn': 0.23%
   Keyword 'bí_thư_tỉnh_đoàn_yên_bái_đinh_tiến_hùng': 0.23%
   Keyword 'hoà_bình': 0.23%
   Keyword 'cầu_nguyện': 0.23%
   Keyword 'trung_đông': 0.23%
   Keyword 'vntb_cầu_nguyện': 0.23%
   Keyword 'nấm_hương': 0.23%
   Keyword 'victoria': 0.23%
   Keyword 'thú_vị_cảng_victoria': 0.23%
   Keyword 'hong_kong': 0.23%
   Keyword 'xuân_sắc': 0.23%
   Keyword 'lưu_hiểu_khánh': 0.23%
   Keyword 'tổn_thương': 0.23%
   Keyword 'lâm_tâm_như': 0.23%
   Keyword 'show': 0.23%
   Keyword 'thời_trang': 0.23%
   Keyword 'lương_mạnh_hải': 0.23%
   Keyword 'mỹ_nhân_nicaragua': 0.23%
   Keyword 'miss_universe': 0.23%
   Keyword 'vàng': 0.23%
   Keyword 'jude_bellingham': 0.23%
   Keyword 'em_gái': 0.23%
   Keyword 'maddox': 0.23%
   Keyword 'pax_thiên': 0.23%
   Keyword 'kỳ': 0.23%
   Keyword 'phong_cách': 0.23%
   Keyword 'thư': 0.23%
   Keyword 'tiếng_anh': 0.23%
   Keyword 'phổ_thông': 0.23%
   Keyword 'cô_dâu': 0.23%
   Keyword 'tảo_hôn': 0.23%
   Keyword 'cá_ngừ': 0.23%
   Keyword 'cá_heo': 0.23%
   Keyword 'evn': 0.23%
   Keyword 'asean': 0.23%
   Keyword 'sản_lượng': 0.23%
   Keyword 'bitcoin': 0.23%
   Keyword 'el_salvador': 0.23%
   Keyword 'thuỷ_sản': 0.23%
   Keyword 'thuỷ_sản_trung_quốc': 0.23%
   Keyword 'dư_địa': 0.23%
   Keyword 'tesla': 0.23%
   Keyword 'hệ_thống': 0.23%
   Keyword 'quyền_lực_tuyệt_đối_trương_mỹ_lan': 0.23%
   Keyword 'scb': 0.23%
   Keyword 'quyền_lực': 0.23%
   Keyword 'lập_công_ty': 0.23%
   Keyword 'elon_musk': 0.23%
   Keyword 'tối_cao': 0.23%
   Keyword 'ba_lan': 0.23%
   Keyword 'nguồn_cơn_openai': 0.23%
   Keyword 'nguồn_cơn': 0.23%
   Keyword 'ca_đậu_mùa_khỉ_tp_hcm': 0.23%
   Keyword 'đậu_mùa_khỉ': 0.23%
   Keyword 'đại_tràng': 0.23%
   Keyword 'khối_u': 0.23%
   Keyword 'obi_mikel_chelsea': 0.23%
   Keyword 'messi': 0.23%
   Keyword 'đẳng_cấp': 0.23%
   Keyword 'grand_chess_tour': 0.23%
   Keyword 'quang_liêm': 0.23%
   Keyword 'thành_tích': 0.23%
   Keyword 'quốc_tế_đàn_ông': 0.23%
   Keyword 'tư_tưởng': 0.23%
   Keyword 'lãng_phí': 0.23%
   Keyword 'hoa_kỳ': 0.23%
   Keyword 'brazil': 0.23%
   Keyword 'meta': 0.23%
   Keyword 'quảng_cáo': 0.23%
   Keyword 'nhân_lực': 0.23%
   Keyword 'công_nghệ_thông_tin': 0.23%
   Keyword 'tàu_vũ_trụ': 0.23%
   Keyword 'jennifer_lopez': 0.23%
   Keyword 'chim_cánh_cụt': 0.23%
   Keyword 'lê_thị_thắm': 0.23%
   Keyword 'tỷ_giá': 0.23%
   Keyword 'thương_nhân': 0.23%
   Keyword 'đại_lý': 0.23%
   Keyword 'hợp_đồng': 0.23%
   Keyword 'tết': 0.23%
   Keyword 'bệnh_nhi_gaza_uae': 0.23%
   Keyword 'katseye': 0.23%
   Keyword 'vựa_lúa': 0.23%
   Keyword 'châu_á': 0.23%
   Keyword 'hội_đoàn': 0.23%
   Keyword 'kín_cộng_đồng_việt': 0.23%
   Keyword 'nhận_định': 0.23%
   Keyword 'bé_trai_california': 0.23%
   Keyword 'hoa_hậu_hoàn_vũ': 0.23%
   Keyword 'nhân_quyền': 0.23%
   Keyword 'mạng_lưới_nhân_quyền_việt_nam': 0.23%
   Keyword 'mạng_lưới': 0.23%
   Keyword 'giải_nhân_quyền_việt_nam': 0.23%
   Keyword 'malaysia': 0.23%
   Keyword 'việt_nam_malaysia': 0.23%
   Keyword 'ia_ly': 0.23%
   Keyword 'thuỷ_điện': 0.23%
   Keyword 'công_trường': 0.23%
   Keyword 'hungary': 0.23%
   Keyword 'thủ_tướng_hungary_ukraine_eu': 0.23%
   Keyword 'năm_ánh_sáng': 0.23%
   Keyword 'tuyên_dương': 0.23%
   Keyword 'bản_lĩnh': 0.23%
   Keyword 'thực_chất': 0.23%
   Keyword 'thành_phố_mimasaka_nhật_bản': 0.23%
   Keyword 'thành_phố': 0.23%
   Keyword 'mimasaka_nhật_bản': 0.23%
   Keyword 'quan_hệ_yên_bái': 0.23%
   Keyword 'động_lực': 0.23%
   Keyword 'tinh_thần': 0.23%
   Keyword 'hoạt_động': 0.23%
   Keyword 'tổng_bí_thư': 0.23%
   Keyword 'ngày_sinh': 0.23%
   Keyword 'trần_phú': 0.23%
   Keyword 'hành_động': 0.23%
   Keyword 'đường_ba_vì': 0.23%
   Keyword 'ba_vì': 0.23%
   Keyword 'đồng_bào': 0.23%
   Keyword 'diệp_lâm_anh': 0.23%
   Keyword 'học_đường': 0.23%
   Keyword 'lưu_hương_giang': 0.23%
   Keyword 'tên_lửa': 0.23%
   Keyword 'tên_lửa_thế_giới_nga': 0.23%
   Keyword 'nhiệm_vụ': 0.23%
   Keyword 'cờ_tướng_trạng': 0.23%
   Keyword 'wushu': 0.23%
   Keyword 'trương_quân_ninh': 0.23%
   Keyword 'xe_hoa': 0.23%
   Keyword 'giới_hạn': 0.23%
   Keyword 'bạc_liêu': 0.23%
   Keyword 'toàn_quốc': 0.23%
   Keyword 'hải_phòng': 0.23%
   Keyword 'công_đoàn_hải_phòng': 0.23%
   Keyword 'công_đoàn': 0.23%
   Keyword 'ban_bí_thư': 0.23%
   Keyword 'đà_lạtlâm_đồng': 0.23%
   Keyword 'thiên_nhiên': 0.23%
   Keyword 'văn_hoá': 0.23%
   Keyword 'hội': 0.23%
   Keyword 'quy_tắc': 0.23%
   Keyword 'đề_án': 0.23%
   Keyword 'thu_nhập': 0.23%
   Keyword 'tủ_sách': 0.23%
   Keyword 'cánh_buồm': 0.23%
   Keyword 'tủ_sách_cánh_buồm': 0.23%
   Keyword 'nam_giới': 0.23%
   Keyword 'cơ_sở': 0.23%
   Keyword 'hoả_hoạn': 0.23%
   Keyword 'đất_sét': 0.23%
   Keyword 'bờ_di_sản': 0.23%
   Keyword 'công_viên': 0.23%
   Keyword 'hạ_long': 0.23%
   Keyword 'hôm_qua': 0.23%
   Keyword 'cô_giáo_khmer': 0.23%
   Keyword 'khmer': 0.23%
   Keyword 'biểu_trưng': 0.23%
   Keyword 'nữ_sinh': 0.23%
   Keyword 'judo': 0.23%
   Keyword 'dâu_tây': 0.23%
   Keyword 'dị_ứng': 0.23%
   Keyword 'bệnh_lý': 0.23%
   Keyword 'thị_lực': 0.23%
   Keyword 'cửa_hàng': 0.23%
   Keyword 'đường_miền_tây': 0.23%
   Keyword 'dịp_lễ_người_dân_việt_nam': 0.23%
   Keyword 'tết_nguyên_đán': 0.23%
   Keyword 'người_dân': 0.23%
   Keyword 'đường_hầm': 0.23%
   Keyword 'cấu_trúc': 0.23%
   Keyword 'cơ_quan_t.': 0.23%
   Keyword 'cup': 0.23%
   Keyword 'diện_vô_địch_xứng_đáng_giải_bóng_đá_ceo_sg_cup': 0.23%
   Keyword 'vương_đình_huệ': 0.23%
   Keyword 'chủ_tịch_quốc_hội_vương_đình_huệ': 0.23%
   Keyword 'biển_đảo_tây_nam_hải_trình': 0.23%
   Keyword 'tây_nam': 0.23%
   Keyword 'hải_trình': 0.23%
   Keyword 'trái_tim': 0.23%
   Keyword 'công_trình_quy_mô_tư_dinh': 0.23%
   Keyword 'mộc_quán': 0.23%
   Keyword 'quyền': 0.23%
   Keyword 'nguyễn_trọng': 0.23%
   Keyword 'tài_năng': 0.23%
   Keyword 'nem_lai_vung': 0.23%
   Keyword 'hò_dô': 0.23%
   Keyword 'nhạc_thần_tượng_hàn_quốc_tp._hcm': 0.23%
   Keyword 'thần_tượng': 0.23%
   Keyword 'đô_đốc': 0.23%
   Keyword 'bạch_long': 0.23%
   Keyword 'nghệ_sĩ_bạch_long': 0.23%
   Keyword 'bùi_thị_xuân': 0.23%
   Keyword 'xuất_xứ': 0.23%
   Keyword 'ưu_thế': 0.23%
   Keyword 'xe_xuất_xứ_thái_lan': 0.23%
   Keyword 'lmht': 0.23%
   Keyword 'faker': 0.23%
   Keyword 'nhà_báo': 0.23%
   Keyword 'liverpool': 0.23%
   Keyword 'khả_năng_haaland': 0.23%
   Keyword 'trận_man_city': 0.23%
   Keyword 'haaland': 0.23%
   Keyword 'khả_năng': 0.23%
   Keyword 'man_city': 0.23%
   Keyword 'uy_tín': 0.23%
   Keyword 'finals': 0.23%
   Keyword 'sinner': 0.23%
   Keyword 'hôm_nay': 0.23%
   Keyword 'chung_kết_djokovic': 0.23%
   Keyword 'music': 0.23%
   Keyword 'olympic_mùa': 0.23%
   Keyword 'for': 0.23%
   Keyword 'jump': 0.23%
   Keyword 'ca_sĩ': 0.23%
   Keyword 'ca_sĩ_quang_lê': 0.23%
   Keyword 'sân_khấu': 0.23%
   Keyword 'quang_lê': 0.23%
   Keyword 'italy': 0.23%
   Keyword 'nguyễn_ngọc_đan': 0.23%
   Keyword 'tin_tức': 0.23%
   Keyword 'lãnh_đạo': 0.23%
   Keyword 'đồng_loạt_lãnh_đạo_seabank': 0.23%
   Keyword 'seabank': 0.23%
